Date;;Nb TOTAL d'Appels reçus;Nb total d'abandons;Base Statistique du nombre d'appels;Nb Total d'Appels décrochés;Nb d'Abandons <= 20s;Nb d'abandons >  20s et <= 20 s;Nb Abandons > 20s;Nb Appels décrochés <= 20s;Nb Appels décrochés > 20s et <= 20s;Nb Appels décrochés > 20s;Temps moyen conversation;Pris < 20s;SLA
24/08;;4;0;4;4;0;0;0;4;0;0;00:6:45;100.00;80;
25/08;;11;6;10;5;1;0;5;4;0;1;00:3:16;40.00;80;
26/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
29/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
30/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
31/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;

;Totaux;15;6;14;9;1;0;5;8;0;1;00:4:49;57.14;80;
